id,predicted_plate,image_path,state,entry_time,exit_time
31ab1dda5be2,JMSSWS,uploads/31ab1dda5be2.jpg,,2025-11-09T14:50:37.911742,2025-11-09T14:51:08.559657
1f27905b0cc8,S5WWSS,uploads/1f27905b0cc8.jpg,,2025-11-09T14:51:16.858120,
b4ff93122369,SSSWSS,uploads/b4ff93122369.jpg,,2025-11-09T14:51:42.268794,2025-11-09T14:52:14.461666
31ab1dda5be2,JMSSWS,uploads/31ab1dda5be2.jpg,,2025-11-09T14:51:56.770102,
